"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2530.75","2525.5","2516.75","2539.5","2543","2551.75"
"6E","1.17845","1.1759","1.17095","1.1834","1.1858","1.19075"
"6B","132.54","132.31","131.76","133.09","133.41","133.96"
"6J","88.785","88.585","88.125","89.245","89.505","89.965"
"6A","78.28","78.03","77.59","78.72","78.91","79.35"
"6C","80.05","79.905","79.61","80.345","80.495","80.79"
"NG","2.9","2.86","2.782","2.978","3.016","3.094"
"CL","49.66","49.34","48.53","50.47","50.96","51.77"
"RB","155.31","152.56","148","159.87","161.68","166.24"
"SI","16.505","16.38","16.055","16.83","17.03","17.355"
"HG","294.75","293.65","291.45","296.95","298.05","300.25"
"GC","1272","1267.2","1256.1","1283.1","1289.4","1300.5"
"ZT","107.8125","107.78125","107.71875","107.875","107.90625","107.96875"
"ZF","117.4140625","117.3125","117.09375","117.6328125","117.75","117.96875"
"ZN","125.171875","125","124.625","125.546875","125.75","126.125"
"ZB","152.125","151.65625","150.65625","153.125","153.65625","154.65625"
"UB","163.9375","163.34375","162.03125","165.25","165.96875","167.28125"
"ZC","346.5","344.5","341","350","351.5","355"
"ZS","953.5","949","940.5","962","966","974.5"
"ZW","438.75","435.75","427.25","447.25","452.75","461.25"
"TN","134.015625","133.765625","133.21875","134.5625","134.859375","135.40625"
"6S","102.82","102.56","101.98","103.4","103.72","104.3"
"NQ","5984.75","5965.75","5932.5","6018","6032.25","6065.5"
"NIY","20600","20540","20440","20700","20740","20840"
"YM","22583","22559","22512","22630","22653","22700"
"FGBL","161.06","160.79","160.15","161.7","162.07","162.71"
"FGBX","163","162.38","160.92","164.46","165.3","166.76"
"FDAX","12904","12851.5","12765.5","12990","13023.5","13109.5"
"FBTP","133.94","133.71","133.15","134.5","134.83","135.39"
"FOAT","154.99","154.75","154.16","155.58","155.93","156.52"
"FESX","3572","3560","3535","3597","3610","3635"
"R","123.57","123.31","122.74","124.14","124.45","125.02"
"Z","7416.5","7403.5","7382","7438","7446.5","7468"
